,Name,region,release_date,type,score,url
99,守望者,美国,2009-03-06,"['动作', '科幻', '悬疑']",8.3,https://movie.douban.com/subject/1972698/
100,精武英雄,香港,1994-12-22,"['动作', '剧情']",8.3,https://movie.douban.com/subject/1292895/
101,星球大战前传3：西斯的复仇,美国,2005-05-20,"['动作', '科幻', '冒险']",8.3,https://movie.douban.com/subject/1309078/
102,星球大战2：帝国反击战,美国,1980-05-21,"['动作', '冒险', '科幻']",8.3,https://movie.douban.com/subject/1296528/
103,太极旗飘扬,韩国,2004-02-06,"['动作', '剧情', '战争']",8.3,https://movie.douban.com/subject/1304972/
104,星球大战3：绝地归来,美国,1983-05-25,"['动作', '科幻', '冒险']",8.3,https://movie.douban.com/subject/1297151/
105,一个字头的诞生,香港,1997-03-14,"['动作', '喜剧', '犯罪']",8.3,https://movie.douban.com/subject/1307372/
106,猛龙过江,香港,1972-12-30,"['动作', '喜剧', '犯罪', '剧情', '惊悚']",8.3,https://movie.douban.com/subject/1306870/
107,白色严冬,挪威,2012-03-09,"['剧情', '动作', '历史', '战争']",8.3,https://movie.douban.com/subject/6129462/
108,蝙蝠侠：红影迷踪,美国,2010-07-27,"['动作', '动画', '犯罪', '惊悚']",8.3,https://movie.douban.com/subject/4820775/
109,奏鸣曲,日本,1993-09-10,"['喜剧', '动作', '犯罪']",8.3,https://movie.douban.com/subject/1298351/
110,关山飞渡,美国,1939-02-15,"['动作', '剧情', '爱情', '西部']",8.3,https://movie.douban.com/subject/1298134/
111,日落黄沙,美国,1969-06-18,"['动作', '西部']",8.3,https://movie.douban.com/subject/1296963/
112,战国英豪,日本,1958-12-28,"['动作', '冒险']",8.3,https://movie.douban.com/subject/1303110/
113,喊山,中国大陆,2013-05-09,"['剧情', '喜剧', '动作']",8.3,https://movie.douban.com/subject/22992794/
114,孟菲斯美女号,英国,1990-09-07,"['动作', '剧情', '战争']",8.3,https://movie.douban.com/subject/1298455/
115,飞出个未来大电影2：万背之兽,美国,2008-06-24,"['动画', '动作', '喜剧', '爱情', '科幻']",8.3,https://movie.douban.com/subject/2150085/
116,菜鸟总动员：毕业,日本,2009-05-30,"['剧情', '动作']",8.3,https://movie.douban.com/subject/3293683/
117,最臭兵器,日本,1995-02-23,"['动作', '战争', '动画']",8.3,https://movie.douban.com/subject/26882347/
118,独孤：倒回,韩国,2018-09-07,['动作'],8.3,https://movie.douban.com/subject/30148183/
119,摔角狂热 30,美国,2014-04-07,['动作'],8.3,https://movie.douban.com/subject/25861546/
120,X战警：逆转未来,美国,2014-05-23,"['动作', '科幻', '冒险']",8.2,https://movie.douban.com/subject/10485647/
121,变形金刚,美国,2007-07-11,"['动作', '科幻']",8.2,https://movie.douban.com/subject/1794171/
